=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.05 10:07:02 =~=~=~=~=~=~=~=~=~=~=~=
-0.033,5.690,--0.445,3.269,-9.155,1.960,1.960,1.820
-0.440,3.288,-9.160,2.100,2.100,2.100
-0.440,3.269,-9.155,1.960,1.960,1.960
-0.421,3.283,-9.145,1.890,1.890,1.890
-0.450,3.273,-9.150,1.890,1.890,1.890
-0.450,3.273,-9.165,2.030,2.030,1.960
-0.455,3.278,-9.155,1.820,1.820,1.960
-0.435,3.283,-9.150,1.960,1.960,1.960
-0.459,3.293,-9.160,1.960,1.960,1.960
-0.426,3.264,-9.160,1.960,1.960,1.960
-0.435,3.297,-9.150,1.960,1.960,1.960
-0.450,3.288,-9.145,1.890,1.890,1.890
-0.435,3.278,-9.155,1.960,1.960,1.960
-0.435,3.297,-9.160,1.960,1.960,1.960
-0.435,3.297,-9.165,1.960,1.820,1.820
-0.464,3.297,-9.141,1.890,1.890,1.890
-0.426,3.293,-9.169,1.890,1.890,1.960
-0.445,3.273,-9.155,1.890,1.890,1.890
-0.459,3.278,-9.155,1.890,1.890,1.890
-0.426,3.293,-9.141,1.890,1.890,1.890
-0.431,3.278,-9.165,1.960,1.890,1.890
-0.440,3.283,-9.145,1.890,1.890,1.890
-0.440,3.278,-9.155,1.960,1.890,1.890
-0.455,3.283,-9.145,1.960,1.960,1.960
-0.445,3.283,-9.165,1.960,1.820,1.820
-0.450,3.288,-9.145,1.960,1.960,1.960
-0.445,3.288,-9.136,1.890,1.820,1.820
-0.426,3.273,-9.150,1.960,1.890,1.890
-0.450,3.297,-9.155,2.100,2.100,1.960
-0.455,3.264,-9.150,1.890,1.890,1.890
-0.455,3.288,-9.155,1.820,1.820,1.820
-0.464,3.278,-9.160,1.890,1.960,1.960
-0.455,3.297,-9.150,1.960,1.890,2.100
-0.435,3.273,-9.150,1.960,1.960,1.960
-0.435,3.288,-9.150,1.890,1.820,1.820
-0.445,3.273,-9.145,1.890,1.890,1.890
-0.445,3.278,-9.165,1.960,1.960,1.890
-0.435,3.293,-9.179,2.030,2.170,2.030
-0.445,3.278,-9.155,1.750,1.890,1.890
-0.412,3.254,-9.155,1.820,1.820,1.820
-0.426,3.283,-9.141,1.890,1.890,1.890
-0.459,3.297,-9.136,2.030,2.030,2.030
-0.431,3.264,-9.145,1.890,1.890,1.890
-0.440,3.288,-9.150,1.820,1.820,1.960
-0.421,3.283,-9.165,1.750,1.750,1.750
-0.426,3.293,-9.165,2.030,2.030,2.030
-0.450,3.273,-9.160,1.960,1.890,1.890
-0.455,3.283,-9.145,1.890,1.890,1.890
-0.450,3.297,-9.145,1.890,1.890,1.820
-0.445,3.269,-9.165,1.820,1.820,1.820
-0.440,3.273,-9.145,2.030,2.030,2.030
-0.445,3.269,-9.145,1.890,2.030,2.030
-0.421,3.278,-9.160,1.960,1.890,1.890
-0.435,3.288,-9.169,1.960,1.960,1.820
-0.450,3.288,-9.160,1.890,1.890,1.890
-0.431,3.288,-9.155,1.820,1.890,1.890
-0.435,3.269,-9.136,2.030,2.030,2.030
-0.445,3.293,-9.169,1.890,1.820,1.890
-0.421,3.273,-9.174,1.960,1.750,1.750
-0.416,3.264,-9.155,1.820,1.820,2.240
-0.440,3.297,-9.165,1.330,1.330,1.330
-0.431,3.278,-9.208,1.890,1.680,1.680
-0.450,3.278,-9.131,1.400,1.400,2.030
-0.450,3.273,-9.145,0.910,0.910,0.770
-0.435,3.264,-9.107,2.100,2.100,2.240
-0.440,3.293,-9.145,1.750,1.750,1.400
-0.445,3.259,-9.117,1.470,1.470,1.470
-0.479,3.307,-9.174,2.450,1.750,1.750
-0.450,3.288,-9.098,2.100,2.870,2.870
-0.469,3.293,-9.150,0.770,0.770,0.770
-0.445,3.307,-9.179,3.290,3.290,3.290
-0.435,3.288,-9.102,2.240,2.240,2.240
-0.464,3.302,-9.179,1.190,1.190,1.190
-0.426,3.293,-9.141,2.660,2.660,2.660
-0.450,3.297,-9.179,2.310,1.890,1.890
-0.431,3.307,-9.136,2.030,2.240,2.240
-0.445,3.283,-9.169,2.030,1.400,1.400
-0.431,3.278,-9.169,2.520,2.520,2.520
-0.435,3.288,-9.150,1.330,1.820,1.820
-0.450,3.297,-9.155,2.240,2.100,2.100
-0.431,3.283,-9.131,2.590,2.590,18.550
-0.670,2.091,-10.026,-45.150,-45.150,-45-0.555,1.531,-10.074,37.450,49.000,49.002.067,2.201,-6.398,-141.260,-130.970,-13-1.790,4.432,-9.777,-73.010,0.280,0.2805.905,18.348,-10.289,128.590,30.520,30.5-1.187,2.541,-9.327,-14.630,-15.330,-15.3.963,0.981,-10.959,28.070,28.070,70.2103.360,8.102,-5.101,63.560,81.480,73.2907.303,11.127,-8.935,-152.250,-152.250,-14.427,1.732,-14.850,-234.920,-234.920,-22.651,-5.149,-6.092,-111.300,-111.300,-1-3.135,8.882,-7.738,76.440,76.440,69.4400.220,13.328,-6.346,-103.320,-103.320,-1-0.043,-2.958,-10.705,-26.320,-34.580,-31.096,6.815,-8.140,-46.130,18.620,18.6200.804,2.713,-9.557,64.750,100.590,91.4900.684,5.465,-8.992,24.850,24.850,25.690-1.350,0.852,-11.323,-113.540,-203.140,-0.857,6.044,-6.394,-57.470,-57.470,58.59-1.302,5.480,-8.136,1.750,1.750,1.540
-2.881,1.881,-11.174,-39.830,-39.830,-390.871,9.528,-6.413,-1.050,-1.050,-1.050-1.421,4.944,-8.863,28.490,18.550,18.5500.273,-0.627,-9.102,94.150,94.150,58.800-0.464,8.021,-9.978,217.490,204.890,204.1.105,4.034,-10.548,437.290,500.010,500.0.139,0.479,-9.370,440.300,574.490,574.4-1.484,-8.236,-13.247,705.530,728.070,353.350,-10.873,-24.431,1448.230,1555.190,4.034,-20.229,-21.052,1623.510,1623.510,0.665,-22.043,-16.573,1182.580,1136.940,8.987,-13.663,-16.855,748.860,-586.810,-4.125,-13.730,-11.074,-80.010,-679.910,--5.092,-17.075,-5.446,-333.200,-401.310,4.451,-16.874,-8.102,-327.810,-336.630,-9.136,-12.950,-5.436,-271.390,-271.390,--0.053,-13.677,-1.584,230.860,302.540,30-2.072,-13.979,-3.623,535.850,598.850,604.556,-10.696,-5.360,570.780,559.440,5594.202,-8.887,-6.231,504.210,514.500,517.3.771,-7.035,-5.709,354.270,354.270,309.6.796,-3.130,-3.527,-13.720,-13.720,-58.1.105,-6.025,-0.957,43.190,43.190,41.1602.144,-4.254,0.613,-81.270,-81.270,-69.12.575,-4.513,0.627,281.050,281.050,281.04.728,-2.613,2.680,208.880,208.880,208.81.350,-1.694,0.866,97.020,87.360,87.3602.201,0.522,1.694,118.930,119.210,119.215.886,-1.249,0.397,150.150,60.480,60.4803.379,1.704,0.995,-119.070,-135.660,-1524.771,0.498,1.388,-221.620,-251.860,-3247.245,-0.919,4.369,-386.330,-386.330,-374.159,-2.302,4.010,-349.930,-349.930,-334.288,-2.355,4.077,-220.850,-220.850,-164.642,-2.096,3.680,-95.760,-95.760,-95.72.465,-3.273,1.019,-245.770,-245.770,-261.699,-3.503,1.450,-289.380,-289.380,-260.971,-4.073,1.340,-280.910,-280.910,-28-0.397,-4.039,1.239,-255.290,-255.290,-2-4.154,-2.201,-2.091,-76.230,-76.230,-76-4.250,-3.144,-7.159,-124.810,-124.810,--11.198,-0.574,-10.548,-64.330,-64.330,--13.213,1.335,-12.065,-25.830,-25.830,-2-16.132,1.670,-12.318,-6.090,-6.090,-6.0-17.831,2.154,-13.673,-8.820,-8.820,-8.8-20.416,2.565,-12.610,22.400,22.400,22.4-23.110,2.378,-9.495,58.170,58.170,58.17-24.742,1.996,-6.059,14.770,-0.490,-0.49-25.350,1.393,-1.335,18.060,18.060,17.08-21.880,-0.134,0.900,16.660,16.660,16.66-19.205,-0.388,3.135,18.620,18.620,18.62-17.295,-0.651,5.231,-5.600,-5.600,-5.60-15.190,-1.292,6.135,-29.750,-29.750,-29-13.615,-0.948,7.202,-80.220,-80.220,-80-11.821,-1.450,5.953,-95.410,-96.110,-96-10.251,-1.756,4.752,-131.180,-131.180,--10.638,-0.589,2.431,-117.040,-123.480,--10.122,-0.651,2.034,-91.700,-90.510,-90-8.394,-1.024,1.464,-96.390,-99.890,-99.-6.647,-0.828,0.579,-99.750,-105.210,-10-5.676,-0.517,-0.067,-113.610,-113.610,--4.336,0.804,-0.842,-117.320,-116.130,-1-1.598,1.158,-3.364,-125.720,-125.720,-11.402,1.828,-5.958,-74.270,-71.400,-71.43.001,0.723,-5.542,-49.280,-49.280,-49.24.159,-0.167,-3.776,-34.370,-33.180,-33.5.274,-1.321,-2.804,-27.580,-31.570,-31.8.140,-2.283,-2.905,-30.170,-28.560,-26.8.418,-2.943,-2.311,-25.060,-27.510,-27.8.480,-3.226,-1.680,-75.250,-81.970,-81.7.724,-3.896,-1.378,-123.410,-129.150,-16.719,-3.182,-1.364,-164.080,-186.480,-14.795,-1.972,-1.809,-233.520,-244.860,-21.426,-1.125,-1.828,-355.040,-352.100,-3-1.484,0.526,-3.010,-326.900,-343.350,-3-5.202,4.135,-4.087,-310.660,-269.990,-2-10.729,5.590,-13.486,-393.610,-445.550,-16.630,6.824,-9.921,-189.700,-182.140,--15.544,5.451,-9.705,-164.220,-163.450,--13.256,4.857,-8.959,-105.000,-107.730,--14.706,5.432,-8.451,-97.230,-91.980,-87-13.572,3.910,-5.015,-17.360,35.910,35.9-9.854,3.900,-14.835,36.610,36.610,45.57-14.759,4.264,-10.993,101.430,101.430,10-12.467,2.733,-9.921,109.340,109.340,109-9.734,-0.158,-8.710,124.670,154.910,154-8.284,0.239,-10.997,-9.170,-9.170,-16.3-3.862,4.556,-14.103,-54.600,-54.600,-12-5.302,-1.766,-6.087,-126.280,-166.670,--10.026,2.675,-8.825,-52.150,-77.770,-77-4.810,1.541,-10.533,-80.220,-80.220,-84-4.053,-0.555,-9.456,10.080,10.080,5.110-6.312,-0.402,-7.365,-7.770,-7.770,-10.9-6.867,0.062,-7.844,6.300,6.300,6.300
-6.049,1.077,-10.796,16.170,16.170,141.6-1.737,3.628,-11.060,79.030,79.030,79.031.603,-4.714,-6.949,87.080,87.080,51.520-3.695,-2.646,-8.016,392.700,392.700,392-4.312,-1.531,-6.422,-88.060,-202.160,-2-4.743,-4.044,-5.882,-137.060,-69.580,-6-4.719,-1.043,-5.905,232.960,232.960,278-8.547,2.661,-7.825,-291.060,-291.060,-2-10.165,-0.502,-12.012,-270.760,-270.760-2.115,-4.082,-7.887,-299.950,-299.950,--2.728,-2.402,-6.116,-72.940,-72.940,-72-4.522,4.350,-11.921,-144.200,-144.830,--3.460,-0.737,-10.035,-129.290,-103.180,-1.809,-2.311,-8.868,8.680,10.920,10.920-1.488,0.340,-8.777,14.770,12.390,12.390-2.833,0.603,-10.059,-59.430,-40.320,-40-0.675,-0.239,-9.653,-5.250,-5.250,-5.25-0.234,-0.589,-9.748,-79.100,-79.100,-79-1.192,0.833,-9.605,6.090,2.170,2.170
