aX,aY,aZ,gX,gY,gZ
-0.112,0.990,-0.165,0.350,-1.260,0.980
-0.111,0.989,-0.165,0.980,-1.260,0.770
-0.113,0.989,-0.164,0.420,-1.330,0.840

-0.339,1.464,2.002,-238.910,129.850,-43.820
-0.531,1.180,-0.178,-119.210,-51.100,-8.610
0.538,1.463,-0.639,-57.960,4.480,30.590
0.337,1.271,-0.257,-63.700,25.340,51.450
-0.062,1.334,-0.104,-52.150,16.240,57.680
-0.029,1.275,-0.032,-3.290,-7.350,62.930
-0.049,1.130,-0.022,45.080,-16.590,53.830
-0.037,1.107,0.021,61.460,-11.130,61.390
-0.066,1.107,-0.023,52.220,-15.890,64.610
-0.084,1.124,-0.167,47.880,-5.320,73.710
0.006,1.240,-0.291,66.640,8.820,88.550
0.084,1.452,-0.285,99.890,18.970,109.130
0.116,1.616,-0.351,121.520,25.620,131.740
0.189,1.774,-0.409,135.870,35.840,179.760
0.255,2.036,-0.344,152.810,35.910,225.890
0.319,2.190,-0.340,159.740,52.850,269.990
0.330,2.229,-0.357,158.690,45.220,318.990
0.401,2.137,-0.333,168.910,47.110,358.120
0.384,2.128,-0.240,187.320,63.700,382.340
0.015,2.032,0.052,133.910,67.340,322.770
0.217,1.917,-0.118,140.770,40.530,337.050
0.311,1.775,-0.253,131.880,-20.090,388.850
0.203,1.443,-0.621,157.220,-30.100,381.780
0.534,1.244,-1.003,167.230,56.280,394.100
0.713,1.444,-0.928,215.460,67.270,399.980
0.741,1.684,-0.695,238.140,79.730,407.050
0.580,1.747,-0.563,241.570,96.740,410.200
0.567,1.574,-0.733,241.220,120.190,413.140
0.625,1.322,-1.055,270.410,138.250,409.850
0.195,1.200,-1.405,528.290,-336.980,359.170
0.857,0.598,-1.641,502.670,-120.400,243.880
0.315,0.741,-1.484,486.990,12.810,164.570
0.160,0.667,-1.503,447.230,70.420,75.390
0.031,0.548,-1.440,384.650,132.510,27.440
-0.216,0.415,-1.222,295.960,182.070,3.920
-0.166,0.256,-1.316,241.780,230.650,-24.710
-0.130,0.096,-1.542,158.340,275.870,-84.350
0.054,-0.153,-2.165,105.490,351.190,-131.810
-0.146,0.135,-1.744,179.830,359.940,-124.810
0.135,0.305,-1.440,-44.380,342.370,-54.390
0.180,0.373,-1.711,-46.690,254.030,17.150
0.016,0.237,-1.367,-56.070,184.170,96.460
0.186,0.227,-1.941,119.630,335.510,128.450
0.093,0.177,-1.626,251.300,346.640,117.880
0.060,-0.102,-1.524,331.240,357.910,84.350
-0.089,-0.299,-1.320,434.630,359.520,47.670
-0.087,-0.440,-1.542,414.330,390.320,11.270
-0.090,-0.519,-1.139,285.390,368.340,-21.490
-0.138,-0.799,-1.188,251.300,406.420,-106.750
-0.262,-0.569,-0.853,140.560,432.460,-130.270
-0.330,-0.213,-0.253,75.460,468.300,-130.270
-0.479,-0.331,-0.304,78.960,484.120,-155.820
-0.560,-0.320,-0.011,176.960,471.870,-183.540
-0.657,-0.285,0.091,246.190,524.720,-250.600
-0.703,-0.218,0.272,258.160,550.900,-302.470
-0.714,-0.025,0.478,269.360,466.690,-280.140
-0.819,0.101,0.736,260.400,408.240,-299.460
-0.672,0.088,0.702,215.950,362.040,-322.910
-0.494,0.335,0.677,155.190,330.120,-301.000
-0.511,0.491,0.727,134.400,315.070,-278.880
-0.491,0.586,0.778,105.140,298.060,-268.170
-0.466,0.711,0.882,80.920,272.580,-256.620
-0.427,0.895,0.941,80.780,244.370,-240.730
-0.385,1.043,1.028,52.920,219.520,-226.100
-0.400,1.144,1.063,-3.360,203.140,-214.130
-0.510,1.158,1.100,-47.600,177.450,-181.860
-0.584,1.220,1.118,-111.720,144.830,-160.650
-0.847,1.078,1.129,-140.630,110.950,-192.430
-1.094,1.239,1.027,-158.970,103.530,-157.220
-1.212,1.357,1.258,-154.140,107.660,-146.020
-1.290,1.519,1.452,-155.540,109.480,-134.960
-1.353,1.807,1.695,-172.200,99.260,-106.960
-1.380,2.023,1.906,-190.120,79.800,-82.600
-1.300,2.168,2.076,-194.040,52.360,-51.240
-1.177,2.326,2.319,-179.620,-6.580,-10.710
-1.093,2.399,2.493,-131.530,-62.510,27.230
-1.010,2.380,2.594,-56.700,-116.970,69.160
-0.844,2.351,2.587,14.350,-157.920,118.370
-0.670,2.231,2.463,33.810,-186.130,148.680
-0.583,2.073,2.278,24.780,-203.560,182.350
-0.616,1.866,2.087,13.510,-222.880,217.070
-0.698,1.643,1.803,4.620,-264.390,259.840
-0.851,1.394,1.613,-1.120,-302.400,286.160
-0.946,1.150,1.383,-15.330,-335.860,301.070
-1.003,0.870,1.186,-53.620,-358.190,312.130
-1.048,0.676,1.007,-75.740,-378.140,311.220
-1.071,0.513,0.795,-88.410,-389.550,306.460
-1.083,0.411,0.501,-96.740,-404.110,296.170
-1.064,0.328,0.411,-96.810,-408.800,287.840
-0.948,0.288,0.255,-101.920,-410.340,280.770
-0.976,0.224,0.155,-78.610,-419.510,278.740
-0.930,0.238,0.031,-68.390,-429.100,284.340
-0.872,0.179,-0.093,-63.490,-439.320,289.870
-0.788,0.202,-0.198,-69.300,-445.060,297.500
-0.810,0.133,-0.309,-105.700,-443.590,303.940
-0.813,0.021,-0.508,-106.190,-443.310,290.290
-0.721,-0.072,-0.676,-99.750,-430.150,283.640
-0.676,-0.210,-0.827,-89.320,-398.650,265.300
-0.638,-0.310,-0.862,-85.400,-376.740,254.940
-0.547,-0.416,-0.874,-78.470,-356.510,233.940
-0.525,-0.586,-0.808,-77.840,-343.210,216.300
-0.540,-0.514,-0.691,-78.960,-342.930,204.050
-0.436,-0.460,-0.828,-68.670,-348.600,196.770
-0.328,-0.277,-1.070,-54.670,-352.590,209.580
-0.228,-0.160,-1.343,-52.360,-369.320,244.090
-0.027,-0.124,-1.699,-38.640,-384.720,275.590
-0.032,-0.403,-2.086,-13.300,-386.190,293.090
-0.091,-0.735,-2.283,-12.670,-359.520,284.690
-0.114,-1.157,-2.333,-11.970,-303.590,232.260
-0.037,-1.479,-2.149,-43.470,-241.220,176.050
0.068,-1.508,-1.928,-89.530,-181.720,125.020
0.081,-1.353,-1.676,-116.970,-143.150,82.250
0.100,-1.141,-1.434,-129.220,-149.870,54.390
0.295,-0.841,-1.506,-129.010,-163.450,53.060
0.411,-0.535,-1.593,-80.080,-178.290,75.530
0.629,-0.439,-1.545,-53.480,-199.080,83.930
0.480,-0.475,-1.684,-53.480,-200.900,87.010
0.676,-0.411,-1.903,-39.410,-193.900,85.540
0.690,-0.366,-1.929,-15.680,-178.360,83.020

0.749,-0.295,-2.011,-63.630,-164.780,80.570
0.698,-0.524,-2.235,-141.960,-152.670,68.110
0.663,-0.725,-2.587,-191.800,-119.350,40.670
0.640,-0.851,-2.919,-207.130,-51.030,5.110
0.636,-0.782,-2.983,-182.560,-4.550,-23.660
0.662,-0.627,-2.948,-137.060,22.680,-37.240
0.713,-0.400,-2.871,-51.730,35.420,-37.380
0.785,-0.291,-2.798,-2.310,41.440,-34.370
0.752,-0.271,-2.629,35.910,51.800,-35.070
0.765,-0.300,-2.760,69.230,67.830,-38.990
0.716,-0.386,-2.800,81.690,93.310,-51.520
0.625,-0.559,-2.859,79.800,129.430,-74.270
0.499,-0.665,-2.882,95.130,174.650,-101.990
0.419,-0.685,-2.857,95.200,215.390,-120.190
0.319,-0.716,-2.808,87.850,248.360,-134.400
0.187,-0.817,-2.786,80.220,289.660,-160.440
0.183,-0.837,-2.737,86.240,324.380,-189.140
0.179,-0.793,-2.640,78.610,355.460,-213.920
0.109,-0.705,-2.560,69.790,378.980,-239.750
0.031,-0.499,-2.396,79.590,400.400,-248.570
0.011,-0.341,-2.203,83.860,419.440,-253.960
-0.047,-0.198,-1.928,84.770,433.790,-255.570
-0.115,-0.078,-1.732,110.600,436.030,-254.940
-0.136,-0.040,-1.553,129.430,435.890,-253.400
-0.166,-0.011,-1.448,140.700,441.840,-254.730
-0.200,-0.031,-1.301,131.180,451.570,-256.900
-0.207,-0.014,-1.095,104.090,461.790,-255.570
-0.267,-0.002,-0.921,80.360,464.800,-252.840
-0.309,0.001,-0.754,52.850,464.520,-249.760
-0.347,-0.010,-0.633,41.300,467.040,-250.670
-0.409,0.047,-0.400,51.240,462.070,-252.070
-0.489,0.072,-0.139,65.520,444.500,-252.980
-0.500,0.084,-0.042,42.700,432.880,-252.910
-0.508,0.105,0.203,13.510,415.100,-250.670
-0.521,0.142,0.186,6.230,404.110,-248.010
-0.525,0.151,0.331,-10.710,388.360,-241.640
-0.523,0.189,0.348,-9.660,371.070,-236.600
-0.536,0.204,0.486,-10.710,352.590,-229.460
-0.586,0.204,0.544,-11.410,325.850,-223.650
